n00475014,1640,"no-hit game, no-hitter"
n00466377,1236,"round of golf, round"
n00475403,1258,"three-hitter, 3-hitter"
n00452734,15,battue
n00288000,2011,dressage
n00479734,144,fives
n00482298,1837,"tennis, lawn tennis"
n00449295,1250,racing
n00452864,1318,beagling
n00442981,659,"dive, diving"
n00449695,1707,boat racing
n00449517,1668,"auto racing, car racing"
n00451635,2038,motorcycling
n00441073,1070,ski jumping
n00443917,1,"gainer, full gainer"
n00463246,1987,athletic game
n00464651,1210,outdoor game
n00448748,1728,figure skating
n00475142,147,"one-hitter, 1-hitter"
n00483508,1048,doubles
n00443375,1,"dead-man's float, prone float"
n00453313,1499,"deer hunting, deer hunt"
n00452152,1044,cockfighting
n00442437,1188,bathe
n00447361,343,luging
n00474657,1425,professional baseball
n00449054,1944,skateboarding
n00453396,1755,"ducking, duck hunting"
n00440218,322,jumping
n00451370,1364,cycling
n00447957,1553,Greco-Roman wrestling
n00466273,1560,professional golf
n00481803,1213,professional basketball
n00470554,1450,professional football
n00483205,1141,professional tennis
n00475661,454,"five-hitter, 5-hitter"
n00474769,190,hardball
n00441824,1973,"water sport, aquatics"
n00445055,2055,"surfing, surfboarding, surfriding"
n00454983,1157,fly casting
n00453935,1250,"fishing, sportfishing"
n00440509,1738,high jump
n00288384,1105,piaffe
n00326094,1450,rock climbing
n00467995,1192,"field hockey, hockey"
n00450070,1265,horse racing
n00480508,1306,badminton
n00474568,842,ball
n00446980,1389,archery
n00444340,485,jackknife
n00445685,1624,sculling
n00476389,1269,cricket
n00483605,521,doubles
n00455076,390,overcast
n00448640,511,ice skating
n00445802,1804,"boxing, pugilism, fisticuffs"
n00447463,1003,bobsledding
n00446311,1157,professional boxing
n00440039,719,"track, running"
n00455173,1314,"surf casting, surf fishing"
n00476140,29,rounders
n00480366,991,"jai alai, pelota"
n00446493,1201,fight
n00483848,1135,pallone
n00440941,1401,cross-country skiing
n00454237,1640,angling
n00454493,1024,"troll, trolling"
n00454855,93,bait casting
n00448958,1383,roller skating
n00451186,1251,"cross-country riding, cross-country jumping"
n00288190,3,"curvet, vaulting"
n00324978,909,"funambulism, tightrope walking"
n00433458,1083,contact sport
n00445351,1434,"rowing, row"
n00448232,1707,sumo
n00470966,1732,"rugby, rugby football, rugger"
n00448872,1655,rollerblading
n00448126,1337,professional wrestling
n00446411,382,in-fighting
n00450866,1086,pony-trekking
n00447540,1928,"wrestling, rassling, grappling"
n00443692,1097,cliff diving
n00477639,1100,polo
n00443517,2,"belly flop, belly flopper, belly whop, belly whopper"
n00466630,1584,match play
n00480993,1838,"basketball, basketball game, hoops"
n00887544,1379,team sport
n00433661,1350,"outdoor sport, field sport"
n00468480,1815,"football, football game"
n00477392,1354,lacrosse
n00463543,1875,"ice hockey, hockey, hockey game"
n00456465,1084,day game
n00467536,617,"shuffleboard, shovelboard"
n00480211,1735,"volleyball, volleyball game"
n00467320,1018,"quoits, horseshoes"
n00477827,195,pushball
n00449796,1246,hydroplane racing
n00439826,1849,track and field
n00444846,1507,scuba diving
n00475273,1345,"two-hitter, 2-hitter"
n00466880,1166,croquet
n00442847,1716,"dip, plunge"
n00449892,1122,camel racing
n00444490,4,"swan dive, swallow dive"
n00440747,1230,skiing
n00479076,1817,court game
n00483313,2410,singles
n00452293,1582,"hunt, hunting"
n00474881,444,perfect game
n00444651,1211,"skin diving, skin-dive"
n00451768,80,dune cycling
n00448466,1068,skating
n00443231,1285,"floating, natation"
n00825773,1596,judo
n00470830,1298,hurling
n00467719,1429,field game
n00443803,623,flip
n00446632,236,rope-a-dope
n00451563,1570,bicycling
n00468299,711,"shinny, shinney"
n00440382,1751,"broad jump, long jump"
n00453631,86,pigsticking
n00479616,1244,racquetball
n00446804,1643,"spar, sparring"
n00483409,1151,singles
n00444142,14,half gainer
n00476235,931,"stickball, stickball game"
n00466712,1395,miniature golf
n07461050,629,three-day event
n00442115,1816,"swimming, swim"
n00480885,383,"battledore, battledore and shuttlecock"
n00469651,1769,"American football, American football game"
n00449168,1517,speed skating
n00434075,1828,"acrobatics, tumbling"
n00471613,1851,"baseball, baseball game"
n00464277,1187,tetherball
n00445226,1743,water-skiing
n00479440,1158,handball
n00481938,68,deck tennis
n00450700,1948,equestrian sport
n00466524,1482,"medal play, stroke play"
n00523513,1888,"sport, athletics"
n00454395,1754,fly-fishing
n00475535,765,"four-hitter, 4-hitter"
n00453478,1155,"fox hunting, foxhunt"
n00470682,1414,touch football
n00449977,1137,greyhound racing
n00454624,1718,"casting, cast"
n00464894,1680,"golf, golf game"
n00452034,1272,"bullfighting, tauromachy"
n00482122,1423,netball
n00453126,1480,coursing
n00450998,1377,"showjumping, stadium jumping"
n00451866,22,blood sport
n00433802,1948,"gymnastics, gymnastic exercise"
n00440643,136,Fosbury flop
n00447221,1150,tobogganing
n00444937,1257,"snorkeling, snorkel diving"
n00450335,1707,"riding, horseback riding, equitation"
n00447073,1801,sledding
n00464478,2001,water polo
n00479887,1114,"squash, squash racquets, squash rackets"
n00483705,1941,"royal tennis, real tennis, court tennis"
n00478262,1395,"soccer, association football"
n00475787,1908,"softball, softball game"
n00471437,1436,"ball game, ballgame"
