n02431976,1259,"Japanese deer, sika, Cervus nipon, Cervus sika"
n02431628,546,"sambar, sambur, Cervus unicolor"
n02432511,1248,"mule deer, burro deer, Odocoileus hemionus"
n02433546,1655,"roe deer, Capreolus capreolus"
n02431542,47,brocket
n02431785,1554,"wapiti, elk, American elk, Cervus elaphus canadensis"
n02434415,434,"barren ground caribou, Rangifer arcticus"
n02435216,209,"musk deer, Moschus moschiferus"
n02431441,500,hind
n02432983,1336,"elk, European elk, moose, Alces alces"
n02432704,1068,"black-tailed deer, blacktail deer, blacktail, Odocoileus hemionus columbianus"
n02430830,1477,fawn
n02432291,2267,"Virginia deer, white tail, whitetail, white-tailed deer, whitetail deer, Odocoileus Virginianus"
n02434190,1036,"woodland caribou, Rangifer caribou"
n02434712,134,brocket
n02433318,1566,"fallow deer, Dama dama"
n02431122,1428,"red deer, elk, American elk, wapiti, Cervus elaphus"
n02430748,35,pricket
n02430045,1680,"deer, cervid"
n02431337,1158,"hart, stag"
n02433925,1577,"caribou, reindeer, Greenland caribou, Rangifer tarandus"
n02433729,337,roebuck
n02434954,1161,"muntjac, barking deer"
n02435517,280,"pere david's deer, elaphure, Elaphurus davidianus"
