n04295081,1478,"stable gear, saddlery, tack"
n03351434,1174,"fishing gear, tackle, fishing tackle, fishing rig, rig"
n03480719,1205,"halter, hackamore"
n04091693,1220,"rigging, tackle"
n03139464,1008,crown jewels
n02955540,732,"caparison, trapping, housing"
n02844714,173,bit
n04247876,1234,"snaffle, snaffle bit"
n03723885,287,martingale
n02900160,1685,bridle
n02900594,334,bridoon
n03906463,507,Pelham
n04179824,921,sewing kit
n03430959,224,"gear, paraphernalia, appurtenance"
n03538542,77,horsecloth
n04071263,1156,regalia
n03480973,1,hame
n02791795,1,bar bit
n03149135,497,"curb, curb bit"
n03619396,909,"kit, outfit"
n03138669,1281,"crown, diadem"
n04612840,71,yoke
n03241093,1174,"drill rig, drilling rig, oilrig, oil rig"
n03503718,228,headgear
n02966687,1071,"carpenter's kit, tool kit"
n03751458,588,mess kit
n04124202,1193,"saddle blanket, saddlecloth, horse blanket"
n03650551,1315,layette
n04091097,1172,rig
n03240683,1175,"drilling platform, offshore rig"
n03031756,30,"cinch, girth"
n03349469,1341,first-aid kit
n03494706,1401,harness
