n02427032,678,"common eland, Taurotragus oryx"
n02425086,348,"mountain nyala, Tragelaphus buxtoni"
n02428349,1390,"oryx, pasang"
n02428089,167,"puku, Adenota vardoni"
n02424589,298,"lesser kudu, Tragelaphus imberbis"
n02426481,835,"steenbok, steinbok, Raphicerus campestris"
n02420828,837,"gerenuk, Litocranius walleri"
n02423022,1384,gazelle
n02424486,1005,"greater kudu, Tragelaphus strepsiceros"
n02424305,1664,"kudu, koodoo, koudou"
n02427183,5,"giant eland, Taurotragus derbianus"
n02424085,971,"bongo, Tragelaphus eurycerus, Boocercus eurycerus"
n02422391,1105,"sassaby, topi, Damaliscus lunatus"
n02421449,1325,"gnu, wildebeest"
n02428508,1592,"gemsbok, gemsbuck, Oryx gazella"
n02427724,1381,waterbuck
n02425228,970,"bushbuck, guib, Tragelaphus scriptus"
n02419796,1282,antelope
n02423362,168,Gazella subgutturosa
n02425887,995,"sable antelope, Hippotragus niger"
n02427576,734,"lechwe, Kobus leche"
n02424695,3,harnessed antelope
n02427470,542,"kob, Kobus kob"
n02426176,265,"saiga, Saiga tatarica"
n02424909,1130,"nyala, Tragelaphus angasi"
n02421136,828,"addax, Addax nasomaculatus"
n02423218,912,"Thomson's gazelle, Gazella thomsoni"
n02421792,1249,dik-dik
n02422106,1254,hartebeest
n02425532,321,"nilgai, nylghai, nylghau, blue bull, Boselaphus tragocamelus"
n02426813,1271,eland
n02423589,1289,"springbok, springbuck, Antidorcas marsupialis, Antidorcas euchore"
n02422699,1441,"impala, Aepyceros melampus"
n02420509,1323,"blackbuck, black buck, Antilope cervicapra"
